Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:13:39
Elapsed Time;00:00:59:980
Samples;811

--Statistics--
Minimum [W];7,9734E-05
Maximum [W];8,0321E-05
Mean [W];7,9969E-05
Standard Deviation [W];9,1943E-08
Ratio;1,007 : 1

--Graph Data--
Time (ms);Power (W)
45920,940;8,0018E-05
45991,940;8,0036E-05
46050,940;7,9999E-05
46110,940;7,9962E-05
46173,940;7,9936E-05
46231,940;7,991E-05
46353,940;7,9917E-05
46418,940;7,9915E-05
46535,940;7,9926E-05
46658,940;7,995E-05
46715,940;7,9966E-05
46770,940;7,9959E-05
46840,940;7,9953E-05
46961,940;8,0068E-05
47024,940;8,008E-05
47083,940;8,0057E-05
47141,940;8,0069E-05
47262,940;8,0039E-05
47324,940;8,0051E-05
47380,940;8,0098E-05
47444,940;8,0097E-05
47543,940;8,011E-05
47605,940;8,0078E-05
47664,940;8,0067E-05
47726,940;8,0049E-05
47788,940;7,9987E-05
47859,940;7,9958E-05
47913,940;7,9955E-05
47971,940;7,9947E-05
48044,940;7,9913E-05
48109,940;7,9897E-05
48209,940;7,999E-05
48268,940;8,0015E-05
48329,940;8,0012E-05
48390,940;8,0009E-05
48449,940;8,0014E-05
48573,940;7,9989E-05
48630,940;7,9938E-05
48704,940;7,9874E-05
48763,940;7,9843E-05
48825,940;7,9855E-05
48950,940;7,9901E-05
49009,940;7,9933E-05
49070,940;7,9952E-05
49132,940;7,9953E-05
49233,940;7,9946E-05
49290,940;7,9952E-05
49353,940;7,9936E-05
49420,940;7,9935E-05
49544,940;7,9962E-05
49662,940;8,0023E-05
49724,940;8,0069E-05
49783,940;8,0129E-05
49901,940;8,0183E-05
49968,940;8,0188E-05
50027,940;8,0197E-05
50085,940;8,0174E-05
50147,940;8,0132E-05
50269,940;8,0042E-05
50328,940;7,9957E-05
50395,940;7,9878E-05
50454,940;7,9842E-05
50557,940;7,9847E-05
50629,940;7,9849E-05
50692,940;7,9853E-05
50750,940;7,9892E-05
50869,940;7,9979E-05
50928,940;7,9993E-05
50989,940;7,999E-05
51050,940;7,9989E-05
51171,288;7,9984E-05
51241,288;7,9936E-05
51303,288;7,9901E-05
51362,288;7,9892E-05
51484,288;7,9926E-05
51521,288;7,9952E-05
51611,288;7,9929E-05
51651,288;7,9938E-05
51722,288;7,9967E-05
51784,288;7,9947E-05
51841,288;7,9961E-05
51895,288;8,0013E-05
51980,288;8,0017E-05
52076,288;8,0028E-05
52139,288;8,0035E-05
52200,288;8,0051E-05
52264,288;8,0049E-05
52324,288;8,002E-05
52445,288;8,0041E-05
52502,288;8,0056E-05
52565,288;8,0095E-05
52624,288;8,0103E-05
52746,288;8,0026E-05
52807,288;8,0014E-05
52866,288;8,0034E-05
52931,288;8,0074E-05
52990,288;8,011E-05
53167,785;8,0127E-05
53226,785;8,0084E-05
53288,785;8,0073E-05
53347,785;8,0079E-05
53451,785;8,0059E-05
53513,785;8,0054E-05
53574,785;8,007E-05
53638,785;8,01E-05
53706,785;8,0123E-05
53768,785;8,013E-05
53818,785;8,013E-05
53881,785;8,0099E-05
53939,785;8,0071E-05
54011,785;8,009E-05
54073,785;8,0115E-05
54132,785;8,0098E-05
54177,785;8,0058E-05
54236,785;8,0046E-05
54306,785;8,0034E-05
54365,785;8,0023E-05
54498,785;8,0065E-05
54541,785;8,006E-05
54661,785;8,003E-05
54745,785;8,0008E-05
54782,785;7,9987E-05
54841,785;7,9975E-05
54967,785;7,995E-05
55025,785;7,9912E-05
55092,785;7,9886E-05
55150,785;7,9877E-05
55214,785;7,9876E-05
55327,785;7,9913E-05
55386,785;7,9927E-05
55450,785;7,9956E-05
55510,785;7,9978E-05
55568,785;7,9988E-05
55703,785;7,997E-05
55822,785;8,0043E-05
55885,785;8,005E-05
56001,785;8,0083E-05
56060,785;8,0073E-05
56126,785;8,0047E-05
56185,785;8,003E-05
56243,785;8,0049E-05
56365,785;8,0081E-05
56406,785;8,0137E-05
56465,785;8,0183E-05
56548,785;8,0169E-05
56645,785;8,0106E-05
56707,785;8,0081E-05
56766,785;8,0055E-05
56828,785;8,0018E-05
56890,785;7,9981E-05
57006,785;7,9941E-05
57090,785;7,9949E-05
57127,785;7,9964E-05
57211,785;8,0015E-05
57332,785;8,0109E-05
57368,785;8,0088E-05
57452,785;8,0034E-05
57511,785;8E-05
57572,785;8,0002E-05
57692,785;7,9984E-05
