Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 15:58:54
Elapsed Time;00:00:59:987
Samples;817

--Statistics--
Minimum [W];7,9701E-05
Maximum [W];8,0331E-05
Mean [W];8,0064E-05
Standard Deviation [W];9,9646E-08
Ratio;1,008 : 1

--Graph Data--
Time (ms);Power (W)
50702,197;8,0026E-05
50823,197;8,0045E-05
50886,197;8,0044E-05
51002,197;8,0054E-05
51123,197;8,0082E-05
51189,197;8,0065E-05
51251,197;8,0072E-05
51309,197;8,0042E-05
51347,197;8,0059E-05
51417,197;8,0112E-05
51476,197;8,0132E-05
51537,197;8,0151E-05
51598,197;8,0153E-05
51664,197;8,0129E-05
51786,197;8,01E-05
51848,197;8,0105E-05
51911,197;8,0086E-05
51973,197;8,007E-05
52071,197;8,0022E-05
52154,197;8,003E-05
52192,197;8,0057E-05
52251,197;8,0064E-05
52336,197;8,0045E-05
52453,197;7,9957E-05
52492,197;7,9933E-05
52576,197;7,9934E-05
52637,197;7,9973E-05
52696,197;8,0022E-05
52817,197;8,0062E-05
52854,197;8,0083E-05
52937,197;8,0082E-05
52996,197;8,0071E-05
53057,197;8,0034E-05
53179,168;8,0038E-05
53238,168;8,0051E-05
53300,168;8,0018E-05
53359,168;7,9976E-05
53422,168;8,0003E-05
53518,168;8,0019E-05
53593,168;7,9992E-05
53657,168;8,0036E-05
53715,168;8,0096E-05
53839,822;8,0134E-05
53898,822;8,0062E-05
53964,822;7,9976E-05
54081,822;8,0004E-05
54204,822;7,9947E-05
54243,822;7,9925E-05
54301,822;7,9898E-05
54365,822;7,9876E-05
54424,822;7,9871E-05
54559,822;7,9879E-05
54619,822;7,9872E-05
54683,822;7,9886E-05
54741,822;7,9928E-05
54863,822;7,9983E-05
54909,822;8,0027E-05
54972,822;8,002E-05
55030,822;7,9998E-05
55102,822;8E-05
55164,822;7,9995E-05
55219,822;7,9999E-05
55281,822;8,0007E-05
55340,822;8,0026E-05
55446,822;8,0129E-05
55510,822;8,014E-05
55571,822;8,0111E-05
55630,822;8,0089E-05
55702,822;8,0082E-05
55766,822;8,0075E-05
55825,822;8,0098E-05
55888,822;8,0131E-05
55949,822;8,0136E-05
56074,822;8,0152E-05
56194,822;8,0156E-05
56253,822;8,0212E-05
56429,707;8,0318E-05
56494,707;8,031E-05
56553,707;8,0297E-05
56614,707;8,0261E-05
56717,707;8,0199E-05
56787,707;8,0181E-05
56845,707;8,0137E-05
56904,707;8,0055E-05
57025,976;8,0032E-05
57159,976;8,0095E-05
57195,976;8,0062E-05
57288,976;8,004E-05
57325,976;8,0031E-05
57383,976;8,0015E-05
57439,976;7,9972E-05
57523,976;7,9944E-05
57643,976;7,9952E-05
57701,976;7,9944E-05
57764,976;7,99E-05
57803,976;7,9896E-05
57868,976;7,9943E-05
57935,976;8,0009E-05
58000,976;8,0082E-05
58041,976;8,0123E-05
58129,976;8,0105E-05
58170,976;8,0093E-05
58291,976;8,01E-05
58354,976;8,0083E-05
58415,976;8,01E-05
58478,976;8,0128E-05
58596,976;8,0168E-05
58654,976;8,0157E-05
58740,976;8,0105E-05
58774,976;8,007E-05
58859,976;8,0052E-05
58958,976;8,0018E-05
59023,976;8,0064E-05
59081,976;8,0119E-05
59143,976;8,0149E-05
59204,976;8,0144E-05
59319,976;8,0147E-05
59378,976;8,0138E-05
59436,976;8,0122E-05
59499,976;8,0123E-05
59558,976;8,0135E-05
59688,523;8,0124E-05
59750,523;8,0142E-05
59809,523;8,0152E-05
59849,523;8,011E-05
59941,523;8,0092E-05
59987,523;8,0097E-05
