MWfrequencies,SDmean,err_SDmean
-82.66533066132266,0.015873015873015872,0.01574653564323481
-81.66332665330663,0.0,0.0
-80.6613226452906,0.015873015873015872,0.01574653564323481
-79.65931863727457,0.015873015873015872,0.01574653564323481
-78.65731462925854,0.015873015873015872,0.01574653564323481
-77.6553106212425,0.0,0.0
-76.65330661322648,0.047619047619047616,0.026830293800905285
-75.65130260521045,0.031746031746031744,0.022088645799247856
-74.64929859719442,0.0,0.0
-73.64729458917839,0.0,0.0
-72.64529058116236,0.0,0.0
-71.6432865731463,0.015873015873015872,0.01574653564323481
-70.64128256513027,0.0,0.0
-69.63927855711424,0.0,0.0
-68.63727454909821,0.0,0.0
-67.63527054108218,0.0,0.0
-66.63326653306615,0.015873015873015872,0.01574653564323481
-65.63126252505012,0.031746031746031744,0.022088645799247856
-64.62925851703409,0.0,0.0
-63.62725450901806,0.0,0.0
-62.62525050100203,0.0,0.0
-61.623246492986,0.015873015873015872,0.01574653564323481
-60.62124248496997,0.015873015873015872,0.01574653564323481
-59.61923847695394,0.015873015873015872,0.01574653564323481
-58.61723446893791,0.031746031746031744,0.022088645799247852
-57.61523046092185,0.031746031746031744,0.022088645799247856
-56.61322645290582,0.0,0.0
-55.61122244488979,0.0,0.0
-54.60921843687376,0.031746031746031744,0.022088645799247856
-53.60721442885773,0.0,0.0
-52.6052104208417,0.0,0.0
-51.60320641282567,0.06349206349206349,0.030721695287833063
-50.60120240480964,0.0,0.0
-49.59919839679361,0.015873015873015872,0.01574653564323481
-48.59719438877758,0.0,0.0
-47.59519038076155,0.0,0.0
-46.59318637274552,0.0,0.0
-45.59118236472949,0.0,0.0
-44.58917835671346,0.0,0.0
-43.58717434869743,0.015873015873015872,0.01574653564323481
-42.58517034068137,0.0,0.0
-41.58316633266534,0.0,0.0
-40.58116232464931,0.015873015873015872,0.01574653564323481
-39.57915831663328,0.0,0.0
-38.57715430861725,0.0,0.0
-37.57515030060122,0.0,0.0
-36.57314629258519,0.0,0.0
-35.57114228456916,0.0,0.0
-34.56913827655313,0.0,0.0
-33.5671342685371,0.0,0.0
-32.56513026052107,0.0,0.0
-31.563126252505043,0.0,0.0
-30.561122244489013,0.0,0.0
-29.559118236472983,0.031746031746031744,0.022088645799247856
-28.557114228456925,0.0,0.0
-27.555110220440895,0.0,0.0
-26.553106212424865,0.0,0.0
-25.551102204408835,0.0,0.0
-24.549098196392805,0.015873015873015872,0.01574653564323481
-23.547094188376775,0.0,0.0
-22.545090180360745,0.0,0.0
-21.543086172344715,0.0,0.0
-20.541082164328685,0.0,0.0
-19.539078156312655,0.031746031746031744,0.022088645799247856
-18.537074148296625,0.015873015873015872,0.01574653564323481
-17.535070140280595,0.015873015873015872,0.01574653564323481
-16.533066132264565,0.015873015873015872,0.01574653564323481
-15.531062124248535,0.0,0.0
-14.529058116232477,0.031746031746031744,0.022088645799247856
-13.527054108216447,0.031746031746031744,0.022088645799247856
-12.525050100200417,0.015873015873015872,0.01574653564323481
-11.523046092184387,0.015873015873015872,0.01574653564323481
-10.521042084168357,0.0,0.0
-9.519038076152327,0.015873015873015872,0.01574653564323481
-8.517034068136297,0.015873015873015872,0.01574653564323481
-7.515030060120267,0.031746031746031744,0.022088645799247856
-6.513026052104237,0.031746031746031744,0.022088645799247856
-5.511022044088207,0.031746031746031744,0.022088645799247856
-4.509018036072177,0.06349206349206349,0.030721695287833067
-3.5070140280561475,0.031746031746031744,0.022088645799247856
-2.5050100200401175,0.047619047619047616,0.02683029380090528
-1.5030060120240876,0.015873015873015872,0.01574653564323481
-0.5010020040080292,0.23809523809523808,0.053660587601810555
0.5010020040080008,0.6349206349206349,0.06065730203397999
1.5030060120240307,0.4444444444444444,0.06260401886877902
2.5050100200400607,0.015873015873015872,0.01574653564323481
3.5070140280560906,0.031746031746031744,0.022088645799247856
4.509018036072121,0.031746031746031744,0.022088645799247852
5.5110220440881506,0.06349206349206349,0.030721695287833067
6.5130260521041805,0.0,0.0
7.515030060120239,0.0,0.0
8.51703406813624,0.015873015873015872,0.01574653564323481
9.519038076152299,0.015873015873015872,0.01574653564323481
10.5210420841683,0.0,0.0
11.523046092184359,0.0,0.0
12.52505010020036,0.015873015873015872,0.01574653564323481
13.527054108216419,0.015873015873015872,0.01574653564323481
14.52905811623242,0.015873015873015872,0.01574653564323481
15.531062124248479,0.0,0.0
16.53306613226448,0.0,0.0
17.53507014028054,0.0,0.0
18.53707414829654,0.0,0.0
19.5390781563126,0.015873015873015872,0.01574653564323481
20.5410821643286,0.0,0.0
21.54308617234466,0.031746031746031744,0.022088645799247852
